iso3Code;curated;reason
ABW;1;Borderline, but worth including
AFG;1;
AGO;1;
AIA;1;Borderline, but worth including
ALA;1;
ALB;1;
AND;1;
ARE;1;
ARG;1;
ARM;1;
ASM;1;
ATG;1;
AUS;1;
AUT;1;
AZE;1;
BDI;1;
BEL;1;
BEN;1;
BFA;1;
BGD;1;
BGR;1;
BHR;1;
BHS;1;
BIH;1;
BLM;0;Main country France
SHN;0;Could be interesting, but excluded for now
BLR;1;
BLZ;1;
BMU;1;
BOL;1;
BES;0;Main country Netherlands
BRA;1;
BRB;1;
BRN;1;
BTN;1;
BWA;1;
CAF;1;
CAN;1;
CCK;1;Borderline, but interesting enough and Christmas Islands closeby
CHE;1;
CHL;1;
CHN;1;
CIV;1;
CMR;1;
COD;1;
COG;1;
COK;1;Borderline, but interesting enough and many islands nearby
COL;1;
COM;1;
CPV;1;
CRI;1;
CUB;1;
CUW;1;Interesting, and has street view coverage
CXR;1;Interesting, and has street view coverage
CYM;1;Interesting, and rather known due to bank accounts
CYP;1;
CZE;1;
DEU;1;
DJI;1;
DMA;1;
DNK;1;
DOM;1;
DZA;1;
ECU;1;
EGY;1;
ERI;1;
ESH;1;Worth knowing about
ESP;1;
EST;1;
ETH;1;
FIN;1;
FJI;1;
FLK;1;Close to Argentina, and pretty known
FRA;1;
FRO;1;
FSM;1;
GAB;1;
GBR;1;
GEO;1;
GGY;1;Close to United Kingdom, and pretty known especially in pair with Jersey
GHA;1;
GIB;1;Interesting, and close to Spain and Marocco
GIN;1;
GLP;1;Interesting, and part of the caribbean islands
GMB;1;
GNB;1;
GNQ;1;
GRC;1;
GRD;1;
GRL;1;Huge, interesting and well known
GTM;1;
GUF;1;Interesting, and part of the Guyana/Surinam/French Guiana cluster
GUM;1;Interesting, and part of a larger island cluster
GUY;1;
HKG;1;Interesting, and well known
HND;1;
HRV;1;
HTI;1;
HUN;1;
IDN;1;
IMN;1;
IND;1;
IOT;0;Pretty remote, not that well known
IRL;1;
IRN;1;
IRQ;1;
ISL;1;
ISR;1;
ITA;1;
JAM;1;
JEY;1;Close to United Kingdom, and pretty known especially in pair with Guernsey
JOR;1;
JPN;1;
KAZ;1;
KEN;1;
KGZ;1;
KHM;1;
KIR;1;
KNA;1;
KOR;1;
UNK;1;Interesting, pretty well known
KWT;1;
LAO;1;
LBN;1;
LBR;1;
LBY;1;
LCA;1;
LIE;1;
LKA;1;
LSO;1;
LTU;1;
LUX;1;
LVA;1;
MAC;1;Interesting, pretty known and close to Hong Kong and China
MAF;1;Interesting, especially since it shares the island with Sint Maarten, also part of the caribbean
MAR;1;
MCO;1;
MDA;1;
MDG;1;
MDV;1;
MEX;1;
MHL;1;
MKD;1;
MLI;1;
MLT;1;
MMR;1;
MNE;1;
MNG;1;
MNP;1;Interesting, and part of a larger island cluster
MOZ;1;
MRT;1;
MSR;1;Interesting, and part of the caribbean
MTQ;1;Interesting, and part of the caribbean
MUS;1;
MWI;1;
MYS;1;
MYT;1;Interesting, and close to Africa and other islands
NAM;1;
NCL;1;Borderline, but part of a larger island cluster
NER;1;
NFK;1;Borderline, but part of a larger island cluster
NGA;1;
NIC;1;
NIU;1;Interesting, part of a larger island cluster
NLD;1;
NOR;1;
NPL;1;
NRU;1;
NZL;1;
OMN;1;
PAK;1;
PAN;1;
PCN;1;Interesting, part of a larger island cluster although a bit far
PER;1;
PHL;1;
PLW;1;
PNG;1;
POL;1;
PRI;1;Interesting, well known
PRK;1;
PRT;1;
PRY;1;
PSE;0;Would like to include but not explicitly marked in many maps
PYF;1;Interesting, part of a larger island cluster
QAT;1;
REU;1;
ROU;1;
RUS;1;
RWA;1;
SAU;1;
SDN;1;
SEN;1;
SGP;1;
SJM;1;Interesting, pretty well known and has street view coverage
SLB;1;
SLE;1;
SLV;1;
SMR;1;
SOM;1;
SPM;0;Not well known enough
SRB;1;
SSD;1;
STP;1;
SUR;1;
SVK;1;
SVN;1;
SWE;1;
SWZ;1;
SXM;1;Interesting, especially since it shares the island with Saint Martin, also part of the caribbean
SYC;1;
SYR;1;
TCA;1;Interesting, and part of the caribbean
TCD;1;
TGO;1;
THA;1;
TJK;1;
TKL;1;Interesting, part of a larger island cluster
TKM;1;
TLS;1;
TON;1;
TTO;1;
TUN;1;
TUR;1;
TUV;1;
TWN;1;Very well known
TZA;1;
UGA;1;
UKR;1;
URY;1;
USA;1;
UZB;1;
VAT;1;
VCT;1;
VEN;1;
VGB;1;Interesting, and part of the caribbean
VIR;1;Interesting, and part of the caribbean
VNM;1;
VUT;1;
WLF;1;Interesting, part of a larger island cluster
WSM;1;
YEM;1;
ZAF;1;
ZMB;1;
ZWE;1;